corpus,date,entity_id,sector,mentions,day_total,sov,sov_sector,open,close,ret_same,ret_d1,ret_fwd5,ret_fwd10,vol_fwd5,vol_pre10,base,abn,sov_base,abn_sov,spike,silent,ret_same_sx,ret_fwd5_sx,ret_fwd10_sx,absret_same,absret_fwd5,absret_same_sx,ent,dt
digest,2026-07-21,kpit,it,0,16,0.0,0.0,561.9500122070312,564.4500122070312,0.004448794280084378,-0.016919102819446752,0.06732217056992851,0.1083354806563055,0.48590535899851406,0.2708266347967139,0.2,-0.2,0.00851393188854489,-0.00851393188854489,0.0,1.0,0.0089123616152642,0.016674771528657074,0.030907457295196922,0.004448794280084378,0.06732217056992851,0.0089123616152642,kpit,2026-07-21
digest,2026-07-22,kpit,it,0,27,0.0,0.0,564.4500122070312,554.9000244140625,-0.016919102819446752,-0.00720850571996956,0.15110825715763387,0.12272476588525394,0.49056658715612783,0.27574413800975245,0.2,-0.2,0.00851393188854489,-0.00851393188854489,0.0,1.0,-0.0008017419496380955,0.06288547966763527,0.02177661498587205,0.016919102819446752,0.15110825715763387,0.0008017419496380955,kpit,2026-07-22
digest,2026-07-23,kpit,it,1,30,0.0333333333333333,0.1428571428571428,551.7999877929688,550.9000244140625,-0.0016309594034349395,0.058631305793320765,0.0705209182505635,0.13087669702433402,0.8947023298993859,0.27129466822255677,0.2,0.8,0.00851393188854489,0.02481940144478841,0.0,0.0,0.003886649537179065,-0.01650356112120141,0.03324624246944709,0.0016309594034349395,0.0705209182505635,0.003886649537179065,kpit,2026-07-23
digest,2026-07-24,kpit,it,0,11,0.0,0.0,547.0499877929688,583.2000122070312,0.06608175709848196,0.0034293552094268875,0.02606312052276727,0.08007546507124075,0.8101240114250517,0.38499090810560077,0.3,-0.3,0.01184726522187822,-0.01184726522187822,0.0,1.0,0.03854498376642497,-0.03246956977069958,-0.009953436536906876,0.06608175709848196,0.02606312052276727,0.03854498376642497,kpit,2026-07-24
digest,2026-07-25,kpit,it,0,21,0.0,0.0,585.7000122070312,585.2000122070312,-0.0008536793402409426,0.029477101230642733,0.0581852137435066,0.07296652651457047,0.8336535759738741,0.37344979228716263,0.3,-0.3,0.01184726522187822,-0.01184726522187822,0.0,1.0,-0.009614669400480733,-0.008756310621178223,-0.0011899683236339803,0.0008536793402409426,0.0581852137435066,0.009614669400480733,kpit,2026-07-25
digest,2026-07-26,kpit,it,0,12,0.0,0.0,585.7000122070312,585.2000122070312,-0.0008536793402409426,0.029477101230642733,0.0581852137435066,0.07296652651457047,0.8336535759738741,0.37344979228716263,0.2,-0.2,0.00596491228070175,-0.00596491228070175,0.0,1.0,-0.009614669400480733,-0.008756310621178223,-0.0011899683236339803,0.0008536793402409426,0.0581852137435066,0.009614669400480733,kpit,2026-07-26
digest,2026-07-27,kpit,it,0,40,0.0,0.0,585.7000122070312,585.2000122070312,-0.0008536793402409426,0.029477101230642733,0.0581852137435066,0.07296652651457047,0.8336535759738741,0.37344979228716263,0.1,-0.1,0.0033333333333333296,-0.0033333333333333296,0.0,1.0,-0.009614669400480733,-0.008756310621178223,-0.0011899683236339803,0.0008536793402409426,0.0581852137435066,0.009614669400480733,kpit,2026-07-27
digest,2026-07-28,kpit,it,0,13,0.0,0.0,587.0,602.4500122070312,0.026320293368025993,0.060253941501281494,0.038426363863946156,0.040750248643919296,0.8200585941405812,0.344471094103022,0.1,-0.1,0.0033333333333333296,-0.0033333333333333296,0.0,1.0,0.00436794327220456,0.01299767536347279,-0.004896877766924351,0.026320293368025993,0.038426363863946156,0.00436794327220456,kpit,2026-07-28
digest,2026-07-29,kpit,it,0,28,0.0,0.0,610.0,638.75,0.04713114754098369,-0.0767123287671233,-0.024657534246575352,-0.04626221180895307,0.6803520482870403,0.4178987820147702,0.1,-0.1,0.0033333333333333296,-0.0033333333333333296,0.0,1.0,0.04578362570510021,-0.03653392155775498,-0.059241035896193506,0.04713114754098369,0.024657534246575352,0.04578362570510021,kpit,2026-07-29
digest,2026-07-30,kpit,it,6,29,0.2068965517241379,0.4285714285714285,610.0,589.75,-0.03319672131147544,0.014667273275222659,0.05637982195845703,0.052140737600678166,0.24245900064840895,0.6225153104044524,0.1,5.9,0.0033333333333333296,0.20356321839080457,1.0,0.0,-0.03225107223342897,0.04644762182041193,0.029164897674953963,0.03319672131147544,0.05637982195845703,0.03225107223342897,kpit,2026-07-30
digest,2026-07-31,kpit,it,1,16,0.0625,0.1666666666666666,585.2999877929688,598.4000244140625,0.022381747641053273,0.03484287221805049,0.05264037218388151,0.02606947685407035,0.2404827817970726,0.6233230118912584,0.7,0.30000000000000004,0.02402298850574712,0.03847701149425288,0.0,0.0,0.013859846143517882,0.022808227513411914,-0.0006623071308071021,0.022381747641053273,0.05264037218388151,0.013859846143517882,kpit,2026-07-31
digest,2026-08-01,kpit,it,0,19,0.0,0.0,602.1500244140625,619.25,0.02839819794506715,0.010254300502119396,0.01396854971992334,-0.016552280985062562,0.11664728819828134,0.6373031823078411,0.8,-0.8,0.030272988505747122,-0.030272988505747122,0.0,1.0,0.007244636524856185,0.007215927572502556,-0.006787080478686591,0.02839819794506715,0.01396854971992334,0.007244636524856185,kpit,2026-08-01
digest,2026-08-02,kpit,it,0,4,0.0,0.0,602.1500244140625,619.25,0.02839819794506715,0.010254300502119396,0.01396854971992334,-0.016552280985062562,0.11664728819828134,0.6373031823078411,0.8,-0.8,0.030272988505747122,-0.030272988505747122,0.0,1.0,0.007244636524856185,0.007215927572502556,-0.006787080478686591,0.02839819794506715,0.01396854971992334,0.007244636524856185,kpit,2026-08-02
digest,2026-08-03,kpit,it,0,18,0.0,0.0,602.1500244140625,619.25,0.02839819794506715,0.010254300502119396,0.01396854971992334,-0.016552280985062562,0.11664728819828134,0.6373031823078411,0.7,-0.7,0.02693965517241379,-0.02693965517241379,0.0,1.0,0.007244636524856185,0.007215927572502556,-0.006787080478686591,0.02839819794506715,0.01396854971992334,0.007244636524856185,kpit,2026-08-03
digest,2026-08-04,kpit,it,0,23,0.0,0.0,624.0,625.5999755859375,0.0025640634390025063,-0.004155971367330036,0.0022378907747737653,-0.04627549920340146,0.09753658490900488,0.636748847160267,0.7,-0.7,0.02693965517241379,-0.02693965517241379,0.0,1.0,0.011049454855351777,-0.017584548762426364,-0.024294175119478435,0.0025640634390025063,0.0022378907747737653,0.011049454855351777,kpit,2026-08-04
digest,2026-08-05,kpit,it,1,23,0.0434782608695652,0.125,630.0,623.0,-0.011111111111111072,0.0,-0.0221508632310895,-0.054414164388543296,0.2306764615270504,0.6241379268243075,0.7,0.30000000000000004,0.02693965517241379,0.01653860569715141,0.0,0.0,-0.010310469428550073,-0.023018570017072304,-0.03424109306943283,0.011111111111111072,0.0221508632310895,0.010310469428550073,kpit,2026-08-05
digest,2026-08-06,kpit,it,0,41,0.0,0.0,628.9000244140625,623.0,-0.009381498147594258,0.011075480600421406,-0.0040128410914928025,-0.048314567553671695,0.2842524413005496,0.6188401540771447,0.8,-0.8,0.03128748125937031,-0.03128748125937031,0.0,1.0,0.0003333203164295282,-0.01696687398102066,-0.04330637810666927,0.009381498147594258,0.0040128410914928025,0.0003333203164295282,kpit,2026-08-06
digest,2026-08-07,kpit,it,0,18,0.0,0.0,623.0,629.9000244140625,0.011075480600421406,-0.0031751070368037926,-0.025242139701221356,-0.06445473098506416,0.26888813649837834,0.5644604652958483,0.8,-0.8,0.03128748125937031,-0.03128748125937031,0.0,1.0,-0.0027376600041598437,-0.022204677482876987,-0.044615252362671776,0.011075480600421406,0.025242139701221356,0.0027376600041598437,kpit,2026-08-07
digest,2026-08-08,kpit,it,0,9,0.0,0.0,630.0,627.9000244140625,-0.0033332945808531855,-0.0014333880857901882,-0.03010037215988237,-0.0713490159041339,0.26909474680262274,0.5670283097393846,0.8,-0.8,0.03128748125937031,-0.03128748125937031,0.0,1.0,-0.004863925988930911,-0.013604674778039453,-0.04543134018572125,0.0033332945808531855,0.03010037215988237,0.004863925988930911,kpit,2026-08-08
digest,2026-08-09,kpit,it,0,12,0.0,0.0,630.0,627.9000244140625,-0.0033332945808531855,-0.0014333880857901882,-0.03010037215988237,-0.0713490159041339,0.26909474680262274,0.5670283097393846,0.8,-0.8,0.03128748125937031,-0.03128748125937031,0.0,1.0,-0.004863925988930911,-0.013604674778039453,-0.04543134018572125,0.0033332945808531855,0.03010037215988237,0.004863925988930911,kpit,2026-08-09
digest,2026-08-10,kpit,it,0,16,0.0,0.0,630.0,627.9000244140625,-0.0033332945808531855,-0.0014333880857901882,-0.03010037215988237,-0.0713490159041339,0.26909474680262274,0.5670283097393846,0.2,-0.2,0.01059782608695652,-0.01059782608695652,0.0,1.0,-0.004863925988930911,-0.013604674778039453,-0.04543134018572125,0.0033332945808531855,0.03010037215988237,0.004863925988930911,kpit,2026-08-10
digest,2026-08-11,kpit,it,0,77,0.0,0.0,628.0,627.0,-0.0015923566878981443,-0.028389135235994845,-0.04840506473036288,-0.05582137161084533,0.2819920546830405,0.5548161751324855,0.1,-0.1,0.00434782608695652,-0.00434782608695652,0.0,1.0,-0.004442186482351422,-0.007412215662940695,-0.028325282074426878,0.0015923566878981443,0.04840506473036288,0.004442186482351422,kpit,2026-08-11
digest,2026-08-12,kpit,it,1,25,0.04,0.0833333333333333,627.0,609.2000122070312,-0.028389135235994845,0.018548896202465137,-0.03299415006292372,-0.03151676267614112,0.23460425239207933,0.4789315692430618,0.1,0.9,0.00434782608695652,0.03565217391304348,0.0,0.0,-0.013408294697566684,-0.012103695629647304,-0.008417787642911644,0.028389135235994845,0.03299415006292372,0.013408294697566684,kpit,2026-08-12
digest,2026-08-13,kpit,it,1,45,0.0222222222222222,0.0666666666666666,611.7999877929688,620.5,0.014220353678685127,-0.010475423045930743,-0.04448021851077755,-0.05237711522965349,0.15517285087132382,0.2679158542991277,0.2,0.8,0.00834782608695652,0.01387439613526568,0.0,0.0,0.008469236288744665,-0.02697344747073307,-0.024481331219253215,0.014220353678685127,0.04448021851077755,0.008469236288744665,kpit,2026-08-13
digest,2026-08-14,kpit,it,0,41,0.0,0.0,623.5999755859375,614.0,-0.015394445095860188,-0.008143322475570036,-0.04022803291047439,-0.007491816915207616,0.1557193991398877,0.27278654454349077,0.3,-0.3,0.01057004830917874,-0.01057004830917874,0.0,1.0,-0.01250257171283858,-0.02338598204480092,-0.013156053405664085,0.015394445095860188,0.04022803291047439,0.01250257171283858,kpit,2026-08-14
